"","Date","Year","Month","Day","Port","Landing_tm"
"109",2011-04-19,2011,4,19,"TAMBODMORA",6530
"110",2011-04-20,2011,4,20,"TAMBODMORA",5224
"111",2011-04-21,2011,4,21,"TAMBODMORA",4867
"112",2011-04-22,2011,4,22,"TAMBODMORA",7028
"113",2011-04-23,2011,4,23,"TAMBODMORA",5278
"114",2011-04-24,2011,4,24,"TAMBODMORA",4886
"115",2011-04-25,2011,4,25,"TAMBODMORA",5990
"116",2011-04-26,2011,4,26,"TAMBODMORA",5385
"117",2011-04-27,2011,4,27,"TAMBODMORA",5870
"118",2011-04-28,2011,4,28,"TAMBODMORA",4041
"119",2011-04-29,2011,4,29,"TAMBODMORA",5919
"120",2011-04-30,2011,4,30,"TAMBODMORA",2652
"121",2011-05-01,2011,5,1,"TAMBODMORA",3364
"122",2011-05-02,2011,5,2,"TAMBODMORA",1335
"123",2011-05-03,2011,5,3,"TAMBODMORA",62
"124",2011-05-04,2011,5,4,"TAMBODMORA",0
"125",2011-05-05,2011,5,5,"TAMBODMORA",4361
"126",2011-05-06,2011,5,6,"TAMBODMORA",5617
"127",2011-05-07,2011,5,7,"TAMBODMORA",2528
"128",2011-05-08,2011,5,8,"TAMBODMORA",3124
"129",2011-05-09,2011,5,9,"TAMBODMORA",4904
"130",2011-05-10,2011,5,10,"TAMBODMORA",3140
"131",2011-05-11,2011,5,11,"TAMBODMORA",300
"132",2011-05-12,2011,5,12,"TAMBODMORA",696
"133",2011-05-13,2011,5,13,"TAMBODMORA",3035
"134",2011-05-14,2011,5,14,"TAMBODMORA",4472
"135",2011-05-15,2011,5,15,"TAMBODMORA",5941
"136",2011-05-16,2011,5,16,"TAMBODMORA",1510.8
"137",2011-05-17,2011,5,17,"TAMBODMORA",3071
"138",2011-05-18,2011,5,18,"TAMBODMORA",624
"139",2011-05-19,2011,5,19,"TAMBODMORA",3862
"140",2011-05-20,2011,5,20,"TAMBODMORA",5082
"141",2011-05-21,2011,5,21,"TAMBODMORA",6016
"142",2011-05-22,2011,5,22,"TAMBODMORA",5460
"143",2011-05-23,2011,5,23,"TAMBODMORA",5509
"144",2011-05-24,2011,5,24,"TAMBODMORA",1504
"145",2011-05-25,2011,5,25,"TAMBODMORA",6208
"146",2011-05-26,2011,5,26,"TAMBODMORA",5634
"147",2011-05-27,2011,5,27,"TAMBODMORA",6332
"148",2011-05-28,2011,5,28,"TAMBODMORA",5082
"149",2011-05-29,2011,5,29,"TAMBODMORA",0
"150",2011-05-30,2011,5,30,"TAMBODMORA",0
"151",2011-05-31,2011,5,31,"TAMBODMORA",774
"152",2011-06-01,2011,6,1,"TAMBODMORA",5571
"153",2011-06-02,2011,6,2,"TAMBODMORA",4946
"154",2011-06-03,2011,6,3,"TAMBODMORA",8261
"155",2011-06-04,2011,6,4,"TAMBODMORA",6286
"156",2011-06-05,2011,6,5,"TAMBODMORA",5714
"157",2011-06-06,2011,6,6,"TAMBODMORA",3880
"158",2011-06-07,2011,6,7,"TAMBODMORA",2788
"159",2011-06-08,2011,6,8,"TAMBODMORA",2302
"160",2011-06-09,2011,6,9,"TAMBODMORA",4449
"161",2011-06-10,2011,6,10,"TAMBODMORA",3001
"162",2011-06-11,2011,6,11,"TAMBODMORA",1882
"163",2011-06-12,2011,6,12,"TAMBODMORA",5100
"164",2011-06-13,2011,6,13,"TAMBODMORA",3442
"165",2011-06-14,2011,6,14,"TAMBODMORA",0
"166",2011-06-15,2011,6,15,"TAMBODMORA",3088
"167",2011-06-16,2011,6,16,"TAMBODMORA",4370
"168",2011-06-17,2011,6,17,"TAMBODMORA",2115
"169",2011-06-18,2011,6,18,"TAMBODMORA",1594
"170",2011-06-19,2011,6,19,"TAMBODMORA",2530
"171",2011-06-20,2011,6,20,"TAMBODMORA",0
"172",2011-06-21,2011,6,21,"TAMBODMORA",1219
"173",2011-06-22,2011,6,22,"TAMBODMORA",4750.2
"174",2011-06-23,2011,6,23,"TAMBODMORA",3757
"175",2011-06-24,2011,6,24,"TAMBODMORA",3862
"176",2011-06-25,2011,6,25,"TAMBODMORA",3712
"177",2011-06-26,2011,6,26,"TAMBODMORA",2977
"178",2011-06-27,2011,6,27,"TAMBODMORA",300
"179",2011-06-28,2011,6,28,"TAMBODMORA",0
"180",2011-06-29,2011,6,29,"TAMBODMORA",0
"181",2011-06-30,2011,6,30,"TAMBODMORA",0
"182",2011-07-01,2011,7,1,"TAMBODMORA",0
"183",2011-07-02,2011,7,2,"TAMBODMORA",0
"184",2011-07-03,2011,7,3,"TAMBODMORA",0
"185",2011-07-04,2011,7,4,"TAMBODMORA",0
"186",2011-07-05,2011,7,5,"TAMBODMORA",370
"187",2011-07-06,2011,7,6,"TAMBODMORA",1620
"188",2011-07-07,2011,7,7,"TAMBODMORA",1700
"189",2011-07-08,2011,7,8,"TAMBODMORA",1930
"190",2011-07-09,2011,7,9,"TAMBODMORA",690
"191",2011-07-10,2011,7,10,"TAMBODMORA",0
"192",2011-07-11,2011,7,11,"TAMBODMORA",0
"193",2011-07-12,2011,7,12,"TAMBODMORA",0
"194",2011-07-13,2011,7,13,"TAMBODMORA",0
"195",2011-07-14,2011,7,14,"TAMBODMORA",0
"196",2011-07-15,2011,7,15,"TAMBODMORA",0
"197",2011-07-16,2011,7,16,"TAMBODMORA",0
"198",2011-07-17,2011,7,17,"TAMBODMORA",0
"199",2011-07-18,2011,7,18,"TAMBODMORA",0
"200",2011-07-19,2011,7,19,"TAMBODMORA",0
"201",2011-07-20,2011,7,20,"TAMBODMORA",0
"202",2011-07-21,2011,7,21,"TAMBODMORA",0
"203",2011-07-22,2011,7,22,"TAMBODMORA",0
"204",2011-07-23,2011,7,23,"TAMBODMORA",0
"205",2011-07-24,2011,7,24,"TAMBODMORA",0
"206",2011-07-25,2011,7,25,"TAMBODMORA",0
"207",2011-07-26,2011,7,26,"TAMBODMORA",0
"208",2011-07-27,2011,7,27,"TAMBODMORA",0
"209",2011-07-28,2011,7,28,"TAMBODMORA",0
"210",2011-07-29,2011,7,29,"TAMBODMORA",0
"211",2011-07-30,2011,7,30,"TAMBODMORA",0
"212",2011-07-31,2011,7,31,"TAMBODMORA",0
"213",2011-08-01,2011,8,1,"TAMBODMORA",0
"214",2011-08-02,2011,8,2,"TAMBODMORA",0
"215",2011-08-03,2011,8,3,"TAMBODMORA",0
"216",2011-08-04,2011,8,4,"TAMBODMORA",0
"217",2011-08-05,2011,8,5,"TAMBODMORA",0
"218",2011-08-06,2011,8,6,"TAMBODMORA",0
"219",2011-08-07,2011,8,7,"TAMBODMORA",0
"220",2011-08-08,2011,8,8,"TAMBODMORA",0
"221",2011-08-09,2011,8,9,"TAMBODMORA",0
"222",2011-08-10,2011,8,10,"TAMBODMORA",0
"223",2011-08-11,2011,8,11,"TAMBODMORA",0
"224",2011-08-12,2011,8,12,"TAMBODMORA",0
"225",2011-08-13,2011,8,13,"TAMBODMORA",0
"226",2011-08-14,2011,8,14,"TAMBODMORA",0
"227",2011-08-15,2011,8,15,"TAMBODMORA",0
"228",2011-08-16,2011,8,16,"TAMBODMORA",0
"229",2011-08-17,2011,8,17,"TAMBODMORA",0
"230",2011-08-18,2011,8,18,"TAMBODMORA",0
"231",2011-08-19,2011,8,19,"TAMBODMORA",0
"232",2011-08-20,2011,8,20,"TAMBODMORA",0
"233",2011-08-21,2011,8,21,"TAMBODMORA",0
"234",2011-08-22,2011,8,22,"TAMBODMORA",0
"235",2011-08-23,2011,8,23,"TAMBODMORA",0
"236",2011-08-24,2011,8,24,"TAMBODMORA",0
"237",2011-08-25,2011,8,25,"TAMBODMORA",0
"238",2011-08-26,2011,8,26,"TAMBODMORA",0
"239",2011-08-27,2011,8,27,"TAMBODMORA",0
"240",2011-08-28,2011,8,28,"TAMBODMORA",0
"241",2011-08-29,2011,8,29,"TAMBODMORA",0
"242",2011-08-30,2011,8,30,"TAMBODMORA",0
"243",2011-08-31,2011,8,31,"TAMBODMORA",0
"244",2011-09-01,2011,9,1,"TAMBODMORA",0
"245",2011-09-02,2011,9,2,"TAMBODMORA",0
"246",2011-09-03,2011,9,3,"TAMBODMORA",0
"247",2011-09-04,2011,9,4,"TAMBODMORA",0
"248",2011-09-05,2011,9,5,"TAMBODMORA",0
"249",2011-09-06,2011,9,6,"TAMBODMORA",0
"250",2011-09-07,2011,9,7,"TAMBODMORA",0
"251",2011-09-08,2011,9,8,"TAMBODMORA",0
"252",2011-09-09,2011,9,9,"TAMBODMORA",0
"253",2011-09-10,2011,9,10,"TAMBODMORA",0
"254",2011-09-11,2011,9,11,"TAMBODMORA",0
"255",2011-09-12,2011,9,12,"TAMBODMORA",0
"256",2011-09-13,2011,9,13,"TAMBODMORA",0
"257",2011-09-14,2011,9,14,"TAMBODMORA",0
"258",2011-09-15,2011,9,15,"TAMBODMORA",0
"259",2011-09-16,2011,9,16,"TAMBODMORA",0
"260",2011-09-17,2011,9,17,"TAMBODMORA",0
"261",2011-09-18,2011,9,18,"TAMBODMORA",0
"262",2011-09-19,2011,9,19,"TAMBODMORA",0
"263",2011-09-20,2011,9,20,"TAMBODMORA",0
"264",2011-09-21,2011,9,21,"TAMBODMORA",0
"265",2011-09-22,2011,9,22,"TAMBODMORA",0
"266",2011-09-23,2011,9,23,"TAMBODMORA",0
"267",2011-09-24,2011,9,24,"TAMBODMORA",0
"268",2011-09-25,2011,9,25,"TAMBODMORA",0
"269",2011-09-26,2011,9,26,"TAMBODMORA",0
"270",2011-09-27,2011,9,27,"TAMBODMORA",0
"271",2011-09-28,2011,9,28,"TAMBODMORA",0
"272",2011-09-29,2011,9,29,"TAMBODMORA",0
"273",2011-09-30,2011,9,30,"TAMBODMORA",0
"274",2011-10-01,2011,10,1,"TAMBODMORA",0
