"Colony","Month","Year","Date","NBrC","BrC","EgC","ChC","JuC","TotC","NBrB","BrB","EgB","ChB","JuB","TotB","NBrP","BrP","EgP","ChP","JuP","TotP"
"CHC",12,2000,2000-12-15,NA,NA,NA,NA,NA,4000,NA,NA,NA,NA,NA,13000,NA,NA,NA,NA,NA,40
"CHS",12,2000,2000-12-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,30475,NA,NA,NA,NA,NA,0
"BA",12,2000,2000-12-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,11770,NA,NA,NA,NA,NA,0
"CHN",1,2001,2001-01-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,24100,NA,NA,NA,NA,NA,250
"CHC",1,2001,2001-01-15,NA,NA,NA,NA,NA,4000,NA,NA,NA,NA,NA,15500,NA,NA,NA,NA,NA,0
"CHS",1,2001,2001-01-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,13800,NA,NA,NA,NA,NA,0
"BA",1,2001,2001-01-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,12970,NA,NA,NA,NA,NA,0
"CHN",2,2001,2001-02-15,NA,NA,NA,NA,NA,550,NA,NA,NA,NA,NA,31630,NA,NA,NA,NA,NA,292
"CHC",2,2001,2001-02-15,NA,NA,NA,NA,NA,19720,NA,NA,NA,NA,NA,62900,NA,NA,NA,NA,NA,0
"CHS",2,2001,2001-02-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,10000,NA,NA,NA,NA,NA,0
"BA",2,2001,2001-02-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,12610,NA,NA,NA,NA,NA,0
"CHN",3,2001,2001-03-15,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,36560,NA,NA,NA,NA,NA,230
"CHC",3,2001,2001-03-15,NA,NA,NA,NA,NA,20000,NA,NA,NA,NA,NA,63100,NA,NA,NA,NA,NA,0
"CHS",3,2001,2001-03-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2200,NA,NA,NA,NA,NA,0
"BA",3,2001,2001-03-15,NA,NA,NA,NA,NA,400,NA,NA,NA,NA,NA,20500,NA,NA,NA,NA,NA,25
"CHN",4,2001,2001-04-15,NA,NA,NA,NA,NA,3000,NA,NA,NA,NA,NA,55800,NA,NA,NA,NA,NA,325
"CHC",4,2001,2001-04-15,NA,NA,NA,NA,NA,20000,NA,NA,NA,NA,NA,62800,NA,NA,NA,NA,NA,0
"CHS",4,2001,2001-04-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,10000,NA,NA,NA,NA,NA,0
"BA",4,2001,2001-04-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,19090,NA,NA,NA,NA,NA,0
"CHN",5,2001,2001-05-15,NA,NA,NA,NA,NA,6245,NA,NA,NA,NA,NA,67779,NA,NA,NA,NA,NA,521
"CHC",5,2001,2001-05-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,33000,NA,NA,NA,NA,NA,0
"CHS",5,2001,2001-05-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,10100,NA,NA,NA,NA,NA,0
"BA",5,2001,2001-05-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,18970,NA,NA,NA,NA,NA,0
"CHN",6,2001,2001-06-15,NA,NA,NA,NA,NA,7395,NA,NA,NA,NA,NA,54797,NA,NA,NA,NA,NA,620
"CHC",6,2001,2001-06-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,33020,NA,NA,NA,NA,NA,0
"CHS",6,2001,2001-06-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,10400,NA,NA,NA,NA,NA,0
"BA",6,2001,2001-06-15,NA,NA,NA,NA,NA,500,NA,NA,NA,NA,NA,19000,NA,NA,NA,NA,NA,0
"CHN",7,2001,2001-07-15,NA,NA,NA,NA,NA,25000,NA,NA,NA,NA,NA,70214,NA,NA,NA,NA,NA,4550
"CHC",7,2001,2001-07-15,NA,NA,NA,NA,NA,10000,NA,NA,NA,NA,NA,33058,NA,NA,NA,NA,NA,0
