"Colony","Month","Year","Date","NBrC","BrC","EgC","ChC","JuC","TotC","NBrB","BrB","EgB","ChB","JuB","TotB","NBrP","BrP","EgP","ChP","JuP","TotP"
"CHS",3,2004,2004-03-15,0,0,0,0,0,0,29700,2200,0,4400,0,31900,60,0,0,0,0,60
"BA",3,2004,2004-03-15,44210,35790,5493,2500,8750,80000,40000,10000,0,0,5000,50000,120,0,0,0,0,120
"CHN",4,2004,2004-04-15,22400,0,0,0,0,22400,188500,12500,1875,0,0,201000,200,0,0,0,0,200
"CHC",4,2004,2004-04-15,2400,0,0,0,0,2400,131910,0,0,0,312,131910,23,0,0,0,0,23
"CHS",4,2004,2004-04-15,0,0,0,0,0,0,21350,0,0,0,0,21350,63,0,0,0,0,63
"BA",4,2004,2004-04-15,119000,6000,0,0,2500,125000,100000,0,0,0,0,100000,120,0,0,0,0,120
"CHN",5,2004,2004-05-15,54600,0,0,0,0,54600,55000,12500,5000,0,0,67500,200,0,0,0,0,200
"CHC",5,2004,2004-05-15,0,0,0,0,0,0,90895,15067,0,15067,0,105962,2,0,0,0,NA,2
"CHS",5,2004,2004-05-15,4000,0,0,0,0,4000,17500,0,4700,0,0,17500,0,0,0,0,0,0
"BA",5,2004,2004-05-15,200000,0,0,0,0,200000,125000,0,0,0,0,125000,120,0,0,0,0,120
"CHN",6,2004,2004-06-15,0,0,0,0,0,0,185000,2500,4100,150,0,187500,500,0,0,0,0,500
"CHC",6,2004,2004-06-15,113600,0,0,0,0,113600,142700,0,0,0,0,142700,0,0,0,0,0,0
"CHS",6,2004,2004-06-15,0,0,0,0,0,0,9500,0,0,520,0,9500,0,0,0,0,0,0
"BA",6,2004,2004-06-15,225000,0,0,0,0,225000,75000,0,0,0,0,75000,NA,100,0,0,0,100
"CHN",7,2004,2004-07-15,35000,7000,1400,180,0,42000,172525,113475,13460,310,0,286000,600,0,0,0,0,600
"CHC",7,2004,2004-07-15,200000,0,0,0,0,200000,183350,0,0,0,0,183350,71,0,0,0,0,71
"CHS",7,2004,2004-07-15,0,0,0,0,0,0,10200,0,0,496,0,10200,300,0,0,0,0,300
"BA",7,2004,2004-07-15,125000,2500,0,0,0,127500,50000,0,0,0,0,50000,0,0,0,0,0,0
"CHN",8,2004,2004-08-15,6960,400,210,140,0,7360,70025,113475,35370,23580,0,183500,0,0,0,0,0,0
"CHC",8,2004,2004-08-15,24000,12500,12500,0,0,36500,10790,18070,18070,0,0,28860,0,0,0,0,0,0
"CHS",8,2004,2004-08-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA",8,2004,2004-08-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHN",9,2004,2004-09-15,0,5000,250,600,0,5000,62500,37500,9375,12500,0,100000,100,0,0,0,0,100
"CHC",9,2004,2004-09-15,24000,14900,2400,12500,0,38900,50820,9104,6040,3064,0,59924,5,0,0,0,0,5
"CHS",9,2004,2004-09-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA",9,2004,2004-09-15,0,150000,75000,0,0,150000,0,67550,40300,1420,0,67550,32,0,0,0,0,32
"CHN",10,2004,2004-10-15,5000,600,0,250,0,5600,50000,25700,9375,6250,0,75700,80,18,36,0,0,98
"CHC",10,2004,2004-10-15,27200,20500,5600,14900,0,47700,43510,15106,6006,9100,0,58616,119,400,400,400,0,519
"CHS",10,2004,2004-10-15,0,0,0,0,0,0,20970,48380,38070,0,45,69350,0,0,0,0,0,0
"BA",10,2004,2004-10-15,107000,28125,0,28125,0,135125,12500,106250,36255,18745,0,118750,0,0,0,0,0,0
"CHN",11,2004,2004-11-15,0,0,0,0,100,0,13550,37500,56250,0,6150,51050,50,0,0,0,0,50
"CHC",11,2004,2004-11-15,35304,20500,0,5000,14800,55804,42840,14043,4034,4531,5020,56883,368,33,0,33,0,401
"CHS",11,2004,2004-11-15,0,0,0,0,0,0,4000,50800,16200,22540,0,54800,0,0,0,0,0,0
"BA",11,2004,2004-11-15,105000,28125,28125,0,0,133125,0,105222,47300,10870,0,105222,0,0,0,0,0,0
"CHN",12,2004,2004-12-15,130,0,0,0,0,130,40800,24000,0,27000,150,64800,30,0,0,0,0,30
"CHC",12,2004,2004-12-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHS",12,2004,2004-12-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA",12,2004,2004-12-15,0,105000,0,18750,37500,105000,1600,9250,14550,37370,480,10850,0,0,0,0,0,0
"CHN",1,2005,2005-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHC",1,2005,2005-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHS",1,2005,2005-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA",1,2005,2005-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHN",2,2005,2005-02-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHC",2,2005,2005-02-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHS",2,2005,2005-02-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA",2,2005,2005-02-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHN",3,2005,2005-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHC",3,2005,2005-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHS",3,2005,2005-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA",3,2005,2005-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHN",4,2005,2005-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHC",4,2005,2005-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHS",4,2005,2005-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA",4,2005,2005-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHN",5,2005,2005-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHC",5,2005,2005-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHS",5,2005,2005-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA",5,2005,2005-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHN",6,2005,2005-06-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHC",6,2005,2005-06-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHS",6,2005,2005-06-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA",6,2005,2005-06-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHN",7,2005,2005-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHC",7,2005,2005-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHS",7,2005,2005-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA",7,2005,2005-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHN",8,2005,2005-08-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHC",8,2005,2005-08-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHS",8,2005,2005-08-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA",8,2005,2005-08-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHN",9,2005,2005-09-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHC",9,2005,2005-09-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHS",9,2005,2005-09-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA",9,2005,2005-09-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHN",10,2005,2005-10-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHC",10,2005,2005-10-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHS",10,2005,2005-10-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA",10,2005,2005-10-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHN",11,2005,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHC",11,2005,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHS",11,2005,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA",11,2005,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHN",12,2005,2005-12-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHC",12,2005,2005-12-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHS",12,2005,2005-12-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA",12,2005,2005-12-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHN",1,2006,2006-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHC",1,2006,2006-01-15,2000,14000,0,2600,1400,16000,7650,4000,0,2700,0,11650,200,6000,0,3200,800,6200
"CHS",1,2006,2006-01-15,0,0,0,0,0,0,13550,76850,0,46050,0,90400,0,0,0,0,0,0
"BA",1,2006,2006-01-15,100150,75000,0,35000,8450,175150,67100,27000,0,16950,0,94100,60,600,0,400,0,660
"CHN",2,2006,2006-02-15,60,0,0,0,0,60,105000,62800,0,76300,32800,167800,90,0,0,0,40,90
"CHC",2,2006,2006-02-15,500,1750,0,300,200,2250,25830,2950,0,1250,110,28780,350,5550,0,2700,1000,5900
"CHS",2,2006,2006-02-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA",2,2006,2006-02-15,160070,140000,0,59500,80650,300070,150540,355,0,280,320,150895,0,0,0,0,0,0
"CHN",3,2006,2006-03-15,1400,0,0,0,0,1400,150000,80000,0,0,59430,230000,570,0,0,0,0,570
"CHC",3,2006,2006-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHS",3,2006,2006-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA",3,2006,2006-03-15,160000,140000,0,0,0,300000,150500,0,0,0,0,150500,0,0,0,0,0,0
"CHN",4,2006,2006-04-15,4800,0,0,0,0,4800,212500,0,0,0,0,212500,0,0,0,0,0,0
"CHC",4,2006,2006-04-15,600,0,0,0,0,600,26800,0,0,0,0,26800,1000,0,0,0,0,1000
"CHS",4,2006,2006-04-15,0,0,0,0,0,0,125000,0,0,0,0,125000,0,0,0,0,0,0
"BA",4,2006,2006-04-15,170120,0,0,0,130050,170120,22300,0,0,0,1330,22300,0,0,0,0,0,0
"CHN",5,2006,2006-05-15,100000,0,0,0,0,100000,184020,0,0,0,0,184020,200,0,0,0,0,200
"CHC",5,2006,2006-05-15,0,0,0,0,0,0,31000,0,0,0,0,31000,0,0,0,0,0,0
"CHS",5,2006,2006-05-15,0,0,0,0,0,0,124500,0,0,0,0,124500,0,0,0,0,0,0
"BA",5,2006,2006-05-15,120,0,0,0,0,120,304400,0,0,0,0,304400,35006,0,0,0,0,35006
"CHN",6,2006,2006-06-15,50000,0,0,0,0,50000,184020,0,0,0,0,184020,320,0,0,0,0,320
"CHC",6,2006,2006-06-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHS",6,2006,2006-06-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA",6,2006,2006-06-15,300000,0,0,0,0,300000,51000,0,0,0,0,51000,7,0,0,0,0,7
"CHN",7,2006,2006-07-15,50000,0,0,0,0,50000,184020,0,0,0,0,184020,320,0,0,0,0,320
"CHC",7,2006,2006-07-15,0,0,0,0,0,0,4400,0,0,0,0,4400,0,0,0,0,NA,0
"CHS",7,2006,2006-07-15,0,0,0,0,0,0,77000,0,0,0,0,77000,0,0,0,NA,0,0
"BA",7,2006,2006-07-15,225000,150000,125000,0,0,375000,24800,0,0,0,0,24800,0,0,0,0,0,0
"CHN",8,2006,2006-08-15,3500,0,0,0,0,3500,83650,0,0,0,0,83650,300,0,0,0,0,300
"CHC",8,2006,2006-08-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHS",8,2006,2006-08-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA",8,2006,2006-08-15,150000,120000,700,139300,0,270000,9300,0,0,0,0,9300,0,0,0,0,0,0
"CHN",9,2006,2006-09-15,15000,0,0,0,0,15000,126200,0,0,0,0,126200,300,0,0,0,0,300
"CHC",9,2006,2006-09-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHS",9,2006,2006-09-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA",9,2006,2006-09-15,175000,120000,875,75000,0,295000,21700,0,0,0,0,21700,0,0,0,0,0,0
"CHN",10,2006,2006-10-15,44950,3450,1870,0,0,48400,100,0,0,0,0,100,120,0,0,0,0,120
"CHC",10,2006,2006-10-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHS",10,2006,2006-10-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA",10,2006,2006-10-15,225000,705000,0,37500,28125,930000,3250,11140,0,0,0,14390,850,0,0,0,0,850
"CHN",11,2006,2006-11-15,10000,1760,1760,0,0,11760,78,0,0,0,0,78,78,0,0,0,0,78
"CHC",11,2006,2006-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHS",11,2006,2006-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA",11,2006,2006-11-15,125000,75000,750,45750,0,200000,0,27930,64750,0,0,27930,249,600,0,600,0,849
"CHN",12,2006,2006-12-15,25120,0,0,0,0,25120,80000,1760,0,1760,0,81760,250,0,0,0,0,250
"CHC",12,2006,2006-12-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHS",12,2006,2006-12-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA",12,2006,2006-12-15,25000,75000,250,43400,0,100000,26000,27910,1150,27910,0,53910,210,600,0,400,0,810
"CHN",1,2007,2007-01-15,0,3750,3750,0,0,3750,420,1520,0,1520,0,1940,320,0,0,0,0,320
"CHC",1,2007,2007-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHS",1,2007,2007-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA",1,2007,2007-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHN",2,2007,2007-02-15,1600,0,0,0,0,1600,153580,3020,0,0,0,156600,0,0,0,0,0,0
"CHC",2,2007,2007-02-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHS",2,2007,2007-02-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA",2,2007,2007-02-15,325000,60000,0,0,41000,385000,135000,20000,0,0,12000,155000,1000,200,0,0,100,1200
"CHN",3,2007,2007-03-15,0,0,0,0,0,0,7280,0,0,0,680,7280,630,0,0,0,0,630
"CHC",3,2007,2007-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHS",3,2007,2007-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA",3,2007,2007-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",4,2007,2007-04-15,0,0,0,0,0,0,29680,0,0,0,0,29680,550,0,0,0,0,550
"CHC",4,2007,2007-04-15,50000,0,0,0,0,50000,208500,0,0,0,20100,208500,50,0,0,0,0,50
"CHS",4,2007,2007-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA",4,2007,2007-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHN",5,2007,2007-05-15,12500,0,0,0,0,12500,67120,0,0,0,0,67120,710,0,0,0,0,710
"CHC",5,2007,2007-05-15,0,0,0,0,0,0,75550,0,0,0,0,75550,120,0,0,0,0,120
"CHS",5,2007,2007-05-15,0,0,0,0,0,0,173500,0,0,0,0,173500,1000,0,0,0,0,1000
"BA",5,2007,2007-05-15,265000,0,0,0,0,265000,35400,0,0,0,0,35400,0,0,0,0,0,0
"CHN",6,2007,2007-06-15,50000,0,0,0,0,50000,104900,0,0,0,0,104900,650,0,0,0,0,650
"CHC",6,2007,2007-06-15,2000,0,0,0,0,2000,229600,0,0,0,0,229600,11,0,0,0,0,11
"CHS",6,2007,2007-06-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA",6,2007,2007-06-15,138000,100000,0,0,0,238000,15100,0,0,0,0,15100,0,0,0,0,0,0
"CHN",7,2007,2007-07-15,0,0,0,0,0,0,80090,0,0,0,0,80090,52,0,0,0,0,52
"CHC",7,2007,2007-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHS",7,2007,2007-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA",7,2007,2007-07-15,100000,128000,0,0,0,228000,1250,0,0,0,0,1250,0,0,0,0,0,0
"CHN",8,2007,2007-08-15,0,0,0,0,0,0,75800,0,0,0,0,75800,300,0,0,0,0,300
"CHC",8,2007,2007-08-15,150000,0,0,0,0,150000,128750,0,0,0,0,128750,0,0,0,0,0,0
"CHS",8,2007,2007-08-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA",8,2007,2007-08-15,90000,141000,0,0,0,231000,48600,0,0,0,0,48600,30,0,0,0,0,30
"CHN",9,2007,2007-09-15,700,0,0,0,0,700,80500,0,0,0,0,80500,300,0,0,0,0,300
"CHC",9,2007,2007-09-15,100000,0,0,0,0,100000,100000,0,0,0,0,100000,0,0,0,0,0,0
"CHS",9,2007,2007-09-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA",9,2007,2007-09-15,70000,165000,0,0,0,235000,7950,0,0,0,0,7950,0,0,0,0,0,0
"CHN",10,2007,2007-10-15,700,0,0,0,0,700,119500,0,0,0,0,119500,300,0,0,0,0,300
"CHC",10,2007,2007-10-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHS",10,2007,2007-10-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA",10,2007,2007-10-15,130000,110000,0,0,0,240000,3000,8000,0,0,0,11000,50,500,0,0,0,550
"CHN",11,2007,2007-11-15,675,0,0,0,0,675,78500,83800,0,0,0,162300,230,0,0,0,0,230
"CHC",11,2007,2007-11-15,100000,30000,17500,0,0,130000,872,126600,78300,0,0,127472,150,0,0,0,0,150
"CHS",11,2007,2007-11-15,0,0,0,0,0,0,13100,83100,40900,0,0,96200,0,0,0,0,0,0
"BA",11,2007,2007-11-15,250000,30000,0,0,0,280000,15000,7000,0,0,0,22000,100,700,0,0,0,800
"CHN",12,2007,2007-12-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHC",12,2007,2007-12-15,0,37500,0,21875,0,37500,15880,55150,0,33840,0,71030,201,200,200,0,0,401
"CHS",12,2007,2007-12-15,0,0,0,0,0,0,38450,108100,34800,34800,0,146550,0,0,0,0,0,0
"BA",12,2007,2007-12-15,255800,107500,0,0,0,363300,8100,2670,0,0,0,10770,670,2300,0,0,0,2970
"CHN",1,2008,2008-01-15,12000,600,0,0,0,12600,162647,33376,0,0,0,196023,1045,0,0,0,0,1045
"CHC",1,2008,2008-01-15,37855,50000,0,21000,0,87855,201,4350,0,33325,0,4551,36000,0,0,200,0,36000
"CHS",1,2008,2008-01-15,0,0,0,0,0,0,37500,100000,0,0,0,137500,0,0,0,0,0,0
"BA",1,2008,2008-01-15,110000,90000,55000,35000,0,200000,46330,2110,0,2110,0,48440,1350,750,0,750,0,2100
"CHN",2,2008,2008-02-15,0,0,0,0,0,0,111721,30952,30952,0,0,142673,705,0,0,0,0,705
"CHC",2,2008,2008-02-15,3000,36000,0,16625,4375,39000,113180,53940,0,30190,5000,167120,50,201,0,180,21,251
"CHS",2,2008,2008-02-15,0,0,0,0,0,0,11310,107780,0,63125,0,119090,0,0,0,0,0,0
"BA",2,2008,2008-02-15,38850,110000,0,0,0,148850,67540,750,0,0,0,68290,220,800,0,0,0,1020
"CHN",3,2008,2008-03-15,352,0,0,0,0,352,123062,0,0,0,0,123062,373,0,0,0,0,373
"CHC",3,2008,2008-03-15,3000,36000,0,4500,16500,39000,102325,47550,0,3500,26800,149875,30,200,0,45,30,230
"CHS",3,2008,2008-03-15,0,0,0,0,0,0,100000,60000,0,20000,40000,160000,0,0,0,0,0,0
"BA",3,2008,2008-03-15,150260,20000,0,0,0,170260,84000,0,0,0,0,84000,678,110,0,0,0,788
"CHN",4,2008,2008-04-15,228,0,0,0,0,228,165358,0,0,0,0,165358,614,0,0,0,0,614
"CHC",4,2008,2008-04-15,6250,0,0,0,0,6250,164826,0,0,0,0,164826,180,0,0,0,0,180
"CHS",4,2008,2008-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA",4,2008,2008-04-15,200150,0,0,0,148000,200150,133230,0,0,0,8285,133230,475,0,0,0,21,475
"CHN",5,2008,2008-05-15,1142,0,0,0,0,1142,204739,0,0,0,0,204739,2050,0,0,0,0,2050
"CHC",5,2008,2008-05-15,25000,0,0,0,0,25000,164626,0,0,0,0,164626,160,0,0,0,0,160
"CHS",5,2008,2008-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA",5,2008,2008-05-15,350100,0,0,0,0,350100,63900,0,0,0,0,63900,17,0,0,0,0,17
"CHN",6,2008,2008-06-15,408,0,0,0,0,408,104376,0,0,0,0,104376,71,0,0,0,0,71
"CHC",6,2008,2008-06-15,75000,0,0,0,0,75000,150540,0,0,0,0,150540,85,0,0,0,0,85
"CHS",6,2008,2008-06-15,0,0,0,0,0,0,120000,0,0,0,0,120000,200,0,0,0,0,200
"BA",6,2008,2008-06-15,300000,0,0,0,0,300000,47510,0,0,0,0,47510,0,0,0,0,0,0
"CHN",7,2008,2008-07-15,100280,0,0,0,0,100280,6219,0,0,0,0,6219,807,0,0,0,0,807
"CHC",7,2008,2008-07-15,25000,0,0,0,0,25000,25705,0,0,0,0,25705,40,0,0,0,0,40
"CHS",7,2008,2008-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA",7,2008,2008-07-15,150000,0,0,0,0,150000,6150,0,0,0,0,6150,34,0,0,0,0,34
"CHN",8,2008,2008-08-15,80000,0,0,0,0,80000,42731,0,0,0,0,42731,825,0,0,0,0,825
"CHC",8,2008,2008-08-15,0,0,0,0,0,0,12500,0,0,0,0,12500,0,0,0,0,0,0
"CHS",8,2008,2008-08-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA",8,2008,2008-08-15,70000,0,0,0,0,70000,19880,0,0,0,0,19880,153,0,0,0,0,153
"CHN",9,2008,2008-09-15,175000,0,0,0,0,175000,37738,0,0,0,0,37738,1169,0,0,0,0,1169
"CHC",9,2008,2008-09-15,2000,0,0,0,0,2000,64555,0,0,0,0,64555,12,0,0,0,0,12
"CHS",9,2008,2008-09-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA",9,2008,2008-09-15,160000,0,0,0,0,160000,28555,0,0,0,0,28555,735,0,0,0,0,735
"CHN",10,2008,2008-10-15,200000,0,0,0,0,200000,161800,88200,8800,0,0,250000,1000,0,0,0,NA,1000
"CHC",10,2008,2008-10-15,20000,0,0,0,0,20000,36300,15870,21087,0,0,52170,100,600,0,0,0,700
